plant,plant_desc,sales_organization,sales_organization_desc,bts_month,material,material_description,product_desc,product_code,product_grade,product_bag,quantity_in_kg,quantity_in_mt,quantity_in_lb,as_on_date,update_datetime,production_date,region,vertical,company_segment,so_known_name,line_no,product_quality,product_family,order_type_desc
M110,IVL Dhunseri Petrochem Industries private Limited (egypt),EG10,IVL Dhunseri Petrochem Industries private Limited (egypt),Jul-24,2003001012,"PET,N2,A,JB/NL,1150KG","PET,N2,A,JB/NL,1150KG",N2,,JB/NL,161000,161.0,354940.60000000003,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-05,APAC,PET,IPET,EIPET,,A,,
M110,IVL Dhunseri Petrochem Industries private Limited (egypt),EG10,IVL Dhunseri Petrochem Industries private Limited (egypt),Jul-24,2003001012,"PET,N2,A,JB/NL,1150KG","PET,N2,A,JB/NL,1150KG",N2,,JB/NL,230000,230.0,507058.0,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-04,APAC,PET,IPET,EIPET,,A,,
M110,IVL Dhunseri Petrochem Industries private Limited (egypt),EG10,IVL Dhunseri Petrochem Industries private Limited (egypt),Jul-24,2003001012,"PET,N2,A,JB/NL,1150KG","PET,N2,A,JB/NL,1150KG",N2,,JB/NL,172500,172.5,380293.5,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-04,APAC,PET,IPET,EIPET,,A,,
M110,IVL Dhunseri Petrochem Industries private Limited (egypt),EG10,IVL Dhunseri Petrochem Industries private Limited (egypt),Jul-24,2003001012,"PET,N2,A,JB/NL,1150KG","PET,N2,A,JB/NL,1150KG",N2,,JB/NL,11500,11.5,25352.9,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-03,APAC,PET,IPET,EIPET,,A,,
M110,IVL Dhunseri Petrochem Industries private Limited (egypt),EG10,IVL Dhunseri Petrochem Industries private Limited (egypt),Jul-24,2003001012,"PET,N2,A,JB/NL,1150KG","PET,N2,A,JB/NL,1150KG",N2,,JB/NL,172500,172.5,380293.5,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-03,APAC,PET,IPET,EIPET,,A,,
M110,IVL Dhunseri Petrochem Industries private Limited (egypt),EG10,IVL Dhunseri Petrochem Industries private Limited (egypt),Jul-24,2003001012,"PET,N2,A,JB/NL,1150KG","PET,N2,A,JB/NL,1150KG",N2,,JB/NL,218500,218.5,481705.10000000003,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-03,APAC,PET,IPET,EIPET,,A,,
A201,Indorama Polymers Public company Limited ,TH40,IRP,Jul-24,2003001013,"PET,N2,A,JB/NL,1050KG","PET,N2,A,JB/NL,1050KG",N2,,JB/NL,21000,21.0,46296.600000000006,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-11,APAC,PET,IPET,IRP,,A,,
A115,Indorama Petrochemical Limited ,TH45,IRPL (PET),Jul-24,2003001023,"PET,N1,A,JB/NL,1150KG","PET,N1,A,JB/NL,1150KG",N1,,JB/NL,155250,155.25,342264.15,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-21,APAC,PET,IPET,IRPL,,A,,
A115,Indorama Petrochemical Limited ,TH45,IRPL (PET),Jul-24,2003001023,"PET,N1,A,JB/NL,1150KG","PET,N1,A,JB/NL,1150KG",N1,,JB/NL,11500,11.5,25352.9,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-05,APAC,PET,IPET,IRPL,,A,,
A115,Indorama Petrochemical Limited ,TH45,IRPL (PET),Jul-24,2003001023,"PET,N1,A,JB/NL,1150KG","PET,N1,A,JB/NL,1150KG",N1,,JB/NL,115000,115.0,253529.0,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-04,APAC,PET,IPET,IRPL,,A,,
A115,Indorama Petrochemical Limited ,TH45,IRPL (PET),Jul-24,2003001023,"PET,N1,A,JB/NL,1150KG","PET,N1,A,JB/NL,1150KG",N1,,JB/NL,57500,57.5,126764.5,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-04,APAC,PET,IPET,IRPL,,A,,
A115,Indorama Petrochemical Limited ,TH45,IRPL (PET),Jul-24,2003001023,"PET,N1,A,JB/NL,1150KG","PET,N1,A,JB/NL,1150KG",N1,,JB/NL,92000,92.0,202823.2,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-04,APAC,PET,IPET,IRPL,,A,,
A115,Indorama Petrochemical Limited ,TH45,IRPL (PET),Jul-24,2003001023,"PET,N1,A,JB/NL,1150KG","PET,N1,A,JB/NL,1150KG",N1,,JB/NL,115000,115.0,253529.0,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-04,APAC,PET,IPET,IRPL,,A,,
A115,Indorama Petrochemical Limited ,TH45,IRPL (PET),Jul-24,2003001023,"PET,N1,A,JB/NL,1150KG","PET,N1,A,JB/NL,1150KG",N1,,JB/NL,115000,115.0,253529.0,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-04,APAC,PET,IPET,IRPL,,A,,
A115,Indorama Petrochemical Limited ,TH45,IRPL (PET),Jul-24,2003001023,"PET,N1,A,JB/NL,1150KG","PET,N1,A,JB/NL,1150KG",N1,,JB/NL,46000,46.0,101411.6,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-04,APAC,PET,IPET,IRPL,,A,,
A115,Indorama Petrochemical Limited ,TH45,IRPL (PET),Jul-24,2003001023,"PET,N1,A,JB/NL,1150KG","PET,N1,A,JB/NL,1150KG",N1,,JB/NL,57500,57.5,126764.5,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-04,APAC,PET,IPET,IRPL,,A,,
